Estado,Ano,venda_comb
RO,2019,1456368.100174
RO,2020,1477366.042027
RO,2021,1617643.20071
RO,2022,1578217.099291
RO,2023,1505014.521681
RR,2003,115140.643
RR,2004,119863.4506354
RR,2005,114156.6570576
RR,2006,121857.9489707
RR,2007,134588.732437171
RR,2008,158626.743039714
RR,2009,173809.55998635
RR,2010,265672.34564393
RR,2011,206343.39862525
RR,2012,216725.11413624
RR,2013,241583.67074112
RR,2014,282537.9363659
RR,2015,284887.72561914
RR,2016,281019.52755
RR,2017,292854.937294
RR,2018,341991.270508
RR,2019,584393.576347
RR,2020,641974.9152299999
RR,2021,665098.666361
RR,2022,571104.0082180001
RR,2023,457599.23587
RS,2003,5829179.80692
RS,2004,6109242.32632
RS,2005,5758612.02217
RS,2006,5683227.43473
RS,2007,5940586.74080639
RS,2008,6378693.5701289
RS,2009,6522475.4736947995
RS,2010,7041865.3771494
RS,2011,7378416.2395617
RS,2012,7697781.6526222
RS,2013,8160677.4955764
RS,2014,8452462.94786
RS,2015,8396068.2928955
RS,2016,8208930.70505
RS,2017,8289634.11031
RS,2018,8132471.92961
RS,2019,8266829.47569
RS,2020,7721538.41399
RS,2021,8163521.71188
RS,2022,8490396.38534
RS,2023,8804738.76523
SC,2003,3680296.72748
SC,2004,3947173.0031
SC,2005,4020467.36783
SC,2006,4090730.03479
SC,2007,4118531.29260668
SC,2008,4403930.35351592
SC,2009,4555674.10119247
SC,2010,4915823.22424512
SC,2011,5128776.24517904
SC,2012,5372597.19850203
SC,2013,5646742.5332687
SC,2014,5938357.5555879995
SC,2015,5839673.24805634
SC,2016,5894846.7444
SC,2017,6026508.08489
SC,2018,6078239.22611
SC,2019,6192158.7838
SC,2020,5937784.67114
SC,2021,6472039.22179
SC,2022,6660804.34548
SC,2023,6872233.21804
SE,2003,496831.305669
SE,2004,520035.7891795
SE,2005,526536.2521137
SE,2006,534174.2710732
SE,2007,602711.794019468
SE,2008,661868.688755226
SE,2009,697382.3878110109
SE,2010,772920.554056149
SE,2011,810583.006796737
SE,2012,879732.23694434
SE,2013,914472.170700713
SE,2014,984616.253772
SE,2015,950060.505818888
SE,2016,902940.473748
SE,2017,893082.438368
SE,2018,887828.799389
SE,2019,895559.104049
SE,2020,848519.80743
SE,2021,861476.828339
SE,2022,947772.871361
SE,2023,993970.84407
SP,2003,24271558.3738
SP,2004,25180120.5595
SP,2005,25128008.47013
SP,2006,26030453.38927
