Estado,Ano,co2
SP,2017,153592900.7372422
BA,2017,78668624.15476108
RO,2017,125135806.47266088
AM,2017,80034579.95554182
GO,2017,84387238.98482083
TO,2017,53437796.96086264
RS,2017,100931956.5598594
MS,2017,71327805.95187014
PR,2017,75013085.56685519
RJ,2017,70969635.13435611
SC,2017,48066115.492165744
PI,2017,19746447.029965986
CE,2017,31808874.670014277
AC,2017,31309979.82577073
ES,2017,33118402.770128854
RR,2017,22795787.98046401
PE,2017,23040442.181939267
PB,2017,14300820.9117987
RN,2017,10879709.125991032
AL,2017,9074095.964912504
SE,2017,8213924.5872754995
DF,2017,7857851.796545397
AP,2017,3732565.575697311
PA,2018,334548164.83325016
MT,2018,231969553.6890503
MA,2018,93019999.00200804
MG,2018,154615333.65854168
SP,2018,147823955.591096
BA,2018,86972207.11365575
RO,2018,114809319.10230362
AM,2018,75600432.03277722
GO,2018,83654647.90696114
TO,2018,54706052.220899045
RS,2018,98703890.4424839
MS,2018,69768939.59222779
PR,2018,73393502.34630615
RJ,2018,67854042.2443973
SC,2018,47316054.63275421
PI,2018,19508262.97408903
CE,2018,28991951.205059588
AC,2018,34754042.8644408
ES,2018,31841472.74151465
RR,2018,25182531.155836973
PE,2018,23355466.200479284
PB,2018,14683697.23479859
RN,2018,10427894.61501437
AL,2018,7998005.942357924
SE,2018,8440940.436811488
DF,2018,7155918.539988806
AP,2018,3271708.496476088
PA,2019,422834068.2564558
MT,2019,278904083.3796229
MA,2019,105652490.46481438
MG,2019,155728178.8349372
SP,2019,147384734.1584362
BA,2019,92658441.55471931
RO,2019,149094524.57883665
AM,2019,126853526.2076088
GO,2019,87382690.46974139
TO,2019,58412571.12682642
RS,2019,102979807.49253574
MS,2019,71831365.191455
PR,2019,76583822.4946895
RJ,2019,68911950.70204616
SC,2019,49855478.45265375
PI,2019,28858827.700640835
CE,2019,32527972.52261111
AC,2019,60929334.7563185
ES,2019,30152089.10767513
RR,2019,37867353.20552919
PE,2019,24401617.435708128
PB,2019,14414880.08001898
RN,2019,10520492.128617346
AL,2019,8191827.253204289
SE,2019,8215057.786009492
DF,2019,7157496.272482136
AP,2019,3652935.022779369
PA,2020,410878073.3020445
MT,2020,243673344.16913
MA,2020,119382331.4324789
MG,2020,156907583.341498
SP,2020,142427706.2126106
BA,2020,100302355.98405272
RO,2020,129241934.220908
AM,2020,117296267.17724314
GO,2020,90726655.86524054
TO,2020,56669772.946212806
RS,2020,97159594.95873146
MS,2020,74616807.47626238
PR,2020,75405274.08226061
RJ,2020,66637194.11715207
SC,2020,45767467.89012688
PI,2020,33279252.002530504
CE,2020,28755681.92824536
AC,2020,53933078.575428426
ES,2020,30320720.06090762
RR,2020,28126537.05221743
PE,2020,23115531.058845736
PB,2020,13944376.00775168
RN,2020,12040496.184499642
AL,2020,8635575.037299357
SE,2020,8201602.743780416
DF,2020,6478377.757763425
AP,2020,2770261.5001513595
PA,2021,538918537.2644329
MT,2021,264612181.8816111
MA,2021,117197000.87619492
MG,2021,166520812.04363894
SP,2021,149888242.4192902
BA,2021,112067043.71933933
RO,2021,152454908.5272387
AM,2021,186302370.3842942
GO,2021,90019822.89279239
TO,2021,52967157.03872103
RS,2021,114026899.72989792
MS,2021,78816101.78642882
PR,2021,79824468.76947415
RJ,2021,74866918.08920923
SC,2021,51173243.09393228
PI,2021,29206966.259747017
CE,2021,35114506.31979734
AC,2021,65622205.597804174
ES,2021,33070582.526092924
RR,2021,37726039.92737432
PE,2021,28887554.508190647
PB,2021,14466972.45947704
RN,2021,12809814.614933766
AL,2021,9517384.75709146
SE,2021,10437318.004635151
DF,2021,7215262.242987571
AP,2021,2578993.683228211
PA,2022,439050427.7988199
MT,2022,336848300.06839675
MA,2022,153841142.33336234
MG,2022,165199757.31894073
SP,2022,152431308.88459054
BA,2022,120289305.5695924
RO,2022,154964539.72860318
AM,2022,205311118.3928149
GO,2022,91769903.7415894
TO,2022,65002932.883404
RS,2022,95125934.5505861
MS,2022,70305990.39539708
PR,2022,74715814.67831388
RJ,2022,66719762.877654016
SC,2022,49057046.12949845
PI,2022,42550145.54049877
CE,2022,31469280.294899724
AC,2022,74012850.03375398
ES,2022,31014781.5366848
RR,2022,28133594.861717395
PE,2022,26134179.228611782
PB,2022,13331963.717467897
RN,2022,12145694.641515004
AL,2022,9291422.57242207
SE,2022,8168576.277097089
DF,2022,7210608.473460882
AP,2022,10929418.01544644
PA,2023,312260528.9059793
MT,2023,298571092.75983113
MA,2023,173423805.72165483
MG,2023,169755224.1373726
SP,2023,154776232.81666505
BA,2023,134962851.35631758
RO,2023,99632560.32222188
AM,2023,92920157.31573524
GO,2023,92831967.00270791
TO,2023,88702881.56467251
RS,2023,88515544.66376573
MS,2023,79207643.26045677
PR,2023,77044898.74899754
RJ,2023,68207188.50990328
SC,2023,46448897.825554565
PI,2023,36481179.36899054
CE,2023,35363140.00339124
AC,2023,29615770.90129041
ES,2023,29566932.231589705
RR,2023,28627986.022511743
PE,2023,26611322.086775333
PB,2023,15476573.95553324
RN,2023,13215018.982496202
AL,2023,10508940.506028544
SE,2023,9628774.674436588
DF,2023,7274556.750461329
AP,2023,6021088.352643807
