Estado,Variavel,n,W,p_valor,Normal_5pct,Conclusao
DF,consumo_energia_industrial,20,0.9705252910316022,0.7659301380822795,Sim,Não rejeita normalidade
DF,desmat_area,20,0.9462247652744723,0.31338896903189717,Sim,Não rejeita normalidade
DF,frota,20,0.9457746143013148,0.307458609587678,Sim,Não rejeita normalidade
DF,frp_anual_queimadas,20,0.8988905876913186,0.03931221081670863,Não,Rejeita normalidade
DF,rebanho,20,0.9250851884722172,0.12416294736475636,Sim,Não rejeita normalidade
DF,temp_media,20,0.9367017369941251,0.20757754059126698,Sim,Não rejeita normalidade
DF,venda_comb,20,0.9472916623022194,0.3278415984115761,Sim,Não rejeita normalidade
ES,area_colhida,20,0.9333164455399154,0.17882431032548435,Sim,Não rejeita normalidade
ES,area_destinada_colheita,20,0.9363516368013136,0.20441016303595155,Sim,Não rejeita normalidade
ES,chuva_media,18,0.9469594311135772,0.3793307959914339,Sim,Não rejeita normalidade
ES,co2,20,0.8766545395630491,0.015411819357914186,Não,Rejeita normalidade
ES,consumo_energia_industrial,20,0.9462477730217976,0.31369473236632583,Sim,Não rejeita normalidade
ES,desmat_area,20,0.9856504384535216,0.9852286231222005,Sim,Não rejeita normalidade
ES,frota,20,0.9535045894275791,0.4234329810191261,Sim,Não rejeita normalidade
ES,frp_anual_queimadas,20,0.8195928221171283,0.0017188302308247462,Não,Rejeita normalidade
ES,rebanho,20,0.9476708316089993,0.3331138868493142,Sim,Não rejeita normalidade
ES,temp_media,18,0.9377874642493836,0.26549557993675144,Sim,Não rejeita normalidade
ES,venda_comb,20,0.9651879099041776,0.6517665206180573,Sim,Não rejeita normalidade
GO,area_colhida,20,0.9369892027750251,0.21021309727393261,Sim,Não rejeita normalidade
GO,area_destinada_colheita,20,0.9343195877916196,0.18691897631134868,Sim,Não rejeita normalidade
GO,chuva_media,20,0.9043143828443931,0.04971652546842442,Não,Rejeita normalidade
GO,co2,20,0.9636521657080678,0.6190904042671079,Sim,Não rejeita normalidade
GO,consumo_energia_industrial,20,0.8601372248082289,0.007919301289239762,Não,Rejeita normalidade
GO,desmat_area,20,0.789569547633786,0.0006063822203814875,Não,Rejeita normalidade
GO,frota,20,0.9442669979289009,0.2883082312497086,Sim,Não rejeita normalidade
GO,frp_anual_queimadas,20,0.8900815789621739,0.02698516673433096,Não,Rejeita normalidade
GO,rebanho,20,0.9275745135198055,0.1386685989795,Sim,Não rejeita normalidade
GO,temp_media,20,0.9734320597391988,0.8250427337270916,Sim,Não rejeita normalidade
GO,venda_comb,20,0.8958051940588299,0.03443263329879501,Não,Rejeita normalidade
MA,area_colhida,20,0.9584023100478098,0.5124470122074053,Sim,Não rejeita normalidade
MA,area_destinada_colheita,20,0.9603802200314475,0.5514730999312134,Sim,Não rejeita normalidade
MA,chuva_media,20,0.8811131701406342,0.018528124826271877,Não,Rejeita normalidade
MA,co2,20,0.9290821686496694,0.14825994511400054,Sim,Não rejeita normalidade
MA,consumo_energia_industrial,20,0.8084768379338844,0.001159056542304396,Não,Rejeita normalidade
