Estado,Ano,temp_media,chuva_media
MS,2022,24.0637960884899,485.464
MS,2023,24.484730860451407,1257.7703703703705
MT,2003,24.919718014790604,1239.8285714285714
MT,2004,24.92957377929114,1508.3714285714286
MT,2005,25.415565697814078,792.8857142857144
MT,2006,25.44408962366761,512.2375
MT,2007,24.998548816590052,1005.76
MT,2008,24.80405771162611,1082.3625
MT,2009,24.927665662205055,1257.9096774193547
MT,2010,25.142242037210853,900.21875
MT,2011,24.894587381730236,1249.2969696969699
MT,2012,24.946656581593416,1304.6235294117646
MT,2013,24.817336938275485,1586.2588235294118
MT,2014,25.035488441576444,1269.1882352941177
MT,2015,25.648648389340625,895.4294117647058
MT,2016,25.288724110890723,1068.5529411764708
MT,2017,25.29011641371644,1148.711111111111
MT,2018,24.71948627568622,1334.7444444444445
MT,2019,25.399415592106237,1111.9384615384615
MT,2020,25.805304814285602,841.4222222222222
MT,2021,24.909260869565216,585.0
MT,2022,24.895358044917742,545.918918918919
MT,2023,25.70640604456036,1054.2742857142857
PA,2003,26.362513365172145,2485.9000000000005
PA,2004,26.290029837711955,2673.5
PA,2005,26.720676973370562,2351.6
PA,2006,26.789774811120076,1909.1999999999998
PA,2007,26.421193242408936,1262.4
PA,2008,26.61654796083628,1222.757894736842
PA,2009,26.480339156587956,2390.7999999999997
PA,2010,26.994181514476615,1537.7473684210527
PA,2011,26.385556355162606,1663.0285714285715
PA,2012,26.4305959552257,1569.8347826086956
PA,2013,26.461188711442606,1668.2782608695652
PA,2014,26.389443288692412,1366.3391304347826
PA,2015,26.821613272444846,943.0333333333333
PA,2016,26.974524571546564,1226.2666666666669
PA,2017,26.606583442489466,1641.0933333333335
PA,2018,26.25799326663601,1567.16875
PA,2019,26.471601100802417,1811.5612903225806
PA,2020,26.54733384956343,1675.1310344827587
PA,2021,26.316390128617048,1404.6000000000001
PA,2022,26.491381633306286,1042.2444444444443
PA,2023,27.13101472007722,1186.384
PB,2004,23.364849354375895,7.4
PB,2005,22.537346671430278,1126.4
