Estado,Ano,co2,frota,rebanho,venda_comb,desmat_area,temp_media,chuva_media,area_destinada_colheita,area_colhida,consumo_energia_industrial,frp_anual_queimadas
CE,2007,23443747.448856004,1166341.0,2424290.0,1838969.76869865,122744.55951839594,26.964684777037416,1120.3999999999999,1942332,1932592,2034013.0,432226.5
CE,2008,22783884.029310595,1302813.0,2460523.0,2065979.58049985,111965.33745393065,26.681095679012344,369.2,2013268,1977223,2047273.0,480927.5
CE,2009,21396443.2647872,1471171.0,2494482.0,2141220.08182256,121716.56977995604,26.627644652250147,2341.2,2076295,2028803,2072258.0,287670.3
CE,2010,24943942.973534588,1687529.0,2546134.0,2438512.04497592,101325.2550372314,28.28455314453843,224.0,1769310,1767471,2223896.0,233822.1
CE,2011,24046808.8252807,1919970.0,2614604.0,2598719.37527144,101501.96711663197,26.948262818716724,968.8,2084945,2084945,2313300.0,238220.5
CE,2012,24666791.09755858,2134935.0,2714713.0,2917659.54216972,106997.8253696167,27.308670095518,729.2,1732234,1681170,2383024.0,220863.5
CE,2013,28734313.952089146,2349817.0,2591067.0,3231667.59321318,110989.05063502803,27.47878718535469,902.2,1364914,1357664,2498317.0,149404.1
CE,2014,33414192.52724788,2558450.0,2597139.0,3529552.510367,93663.48498845831,27.247847927845648,1070.0,1505816,1503104,2459488.0,113363.7
CE,2015,32122307.507984757,2736791.0,2516197.0,3493002.80775388,97783.05922131952,27.234311486640788,1307.7999999999997,1508414,1492991,2476027.0,152460.4
CE,2016,30444532.881744392,2864207.0,2426408.0,3352217.58408,90769.72555676261,27.96256959314775,835.0,1438053,1435573,2763097.0,232862.3
CE,2017,31808874.670014277,2977426.0,2287400.0,3263870.5993,97602.54186068724,27.286200983194238,1425.3999999999999,1521932,1521661,2447663.2939999998,194668.1
CE,2018,28991951.205059588,3097755.0,2403371.0,3215954.83428,107497.77163887935,27.117304569705404,1509.8,1471602,1469310,2390617.161,144932.4
CE,2019,32527972.52261111,3229527.0,2479289.0,3260256.46871,115700.09072827139,27.347876022655758,836.5999999999999,1372558,1365496,2582378.892,239488.2
CE,2020,28755681.92824536,3338259.0,2552916.0,3044909.4143,123165.0306603942,,,1385916,1384688,2390617.1640000003,209163.1
CE,2021,35114506.31979734,3451913.0,2607005.0,3241798.84503,137311.64396707754,,,1408135,1408091,2770974.512,254642.3
CE,2022,31469280.294899724,3560899.0,2681690.0,3363470.94727,157171.52484388417,,,1441140,1440333,2755913.6330000004,201080.2
CE,2023,35363140.00339124,3684757.0,2772173.0,3536840.9968,194417.56930669,,,1455450,1452932,2805105.041,380505.6
DF,2004,5475240.438554969,764714.0,114680.0,1558463.1980702,4032.9905655090306,,,113182,107471,413123.768,14050.8
DF,2005,5428789.737660328,811039.0,102320.0,1564637.242853,3191.4190234069856,,,125313,125197,431544.461,4486.700000000001
DF,2006,5381673.187549988,874713.0,98740.0,1601532.9741809,2422.0883678039536,20.887773442118956,1580.2,124876,124725,458108.418,4678.8
DF,2007,5678007.831345214,956436.0,101590.0,1704860.50137528,2189.0300420593308,21.651319957761352,1099.6,128440,128264,498172.0,20641.6
DF,2008,5740211.439793736,1038772.0,80000.0,1805858.9827757,2555.9825190124484,21.184373204642075,1574.8000000000002,132665,132474,549683.0,7105.4
DF,2009,5914045.16268586,1130568.0,102000.0,1897954.06274223,1857.653247375489,21.30182828049063,1688.0,122142,121900,580316.0,5227.0
DF,2010,6631357.774559229,1225881.0,100600.0,1989891.42941656,1608.8411983703616,21.616499705362404,1312.4,119198,118952,634350.0,31452.1
DF,2011,7215068.936636336,1311693.0,98000.0,2084163.54922629,1488.3482281616205,21.057353445320537,1457.0,127644,127634,675370.0,17886.8
DF,2012,7609741.601389112,1399992.0,100069.0,2141419.75903317,1695.9130428833005,21.284377848678215,1307.4,134905,134905,732834.0,6930.2
DF,2013,7882763.199581262,1488855.0,101452.0,2286081.42790786,2253.4108601379367,21.25979405034325,1595.4,136665,136665,783957.0,3441.4
DF,2014,8636682.22406498,1562401.0,100056.0,2418396.062572,2660.558129791257,21.37123287671233,1474.8000000000002,175023,175023,804834.0,14164.4
DF,2015,8834661.593876693,1623894.0,96576.0,2428033.71072406,2634.140456518561,21.992568031099932,1087.6,161011,160622,733048.0,7022.1
DF,2016,8046813.88970858,1672825.0,96265.0,2324765.6811699998,3034.0353095336854,22.044813844927702,1140.8000000000002,166489,166419,613241.0,10443.6
DF,2017,7857851.796545397,1723782.0,93141.0,2315662.98554,2542.5844134765603,21.474417808219176,1292.0,162894,162894,526776.0,19797.8
DF,2018,7155918.539988806,1783204.0,90199.0,2132462.8654,2493.2622325561524,21.250746097337007,1702.0,165073,164900,512234.859,3080.9
DF,2019,7157496.272482136,1853925.0,84425.0,2195112.26667,2651.7959638732937,21.964078225068622,1369.3999999999999,165445,163915,522325.0,10819.0
DF,2020,6478377.757763425,1902063.0,84225.0,1797015.54929,2756.505616436769,,,171565,171535,592471.0,8005.2
DF,2021,7215262.242987571,1946591.0,85771.0,1910755.4916,2407.8295819702143,,,166865,166835,635990.0,15117.0
DF,2022,7210608.473460882,1987590.0,85544.0,2037777.3281399999,1882.1539672912559,,,173955,173925,618928.0,16026.0
DF,2023,7274556.750461329,2048098.0,83061.0,2161887.26414,2789.6922279357914,,,175965,175965,590185.0,2915.1
ES,2004,19084663.88716426,673143.0,1925596.0,1636653.40638,15091.134533349608,,,795406,782074,3948297.9740000004,5809.0
ES,2005,18568918.93998621,732109.0,2026690.0,1920486.90298,10371.737940002444,,,789128,789050,4179524.119,6453.6
ES,2006,19701738.844961293,805790.0,2119309.0,2078447.74917,12058.133244873039,24.791157894736845,535.3999999999999,769873,769841,4358751.363,15110.7
