Regiao,Ano,co2,frota,rebanho,internacoes,venda_comb,desmat_area,temp_media,chuva_media,pib_pc,area_destinada_colheita,area_colhida,consumo_energia_industrial
Centro-Oeste,2011,378035375.7558898,70846845.0,72662219.0,114827,12512253.03320699,586229.927450903,23.845393903171864,1298.8186233766235,28092.347169679015,18497595,18424104,7607356.0
Centro-Oeste,2012,360064413.36865366,77140623.0,72385029.0,106012,13811202.69371127,600138.7368004208,24.16756364242653,1228.7806178026767,30819.435584279243,20555251,20552346,8544373.0
Centro-Oeste,2013,417629576.2164331,83521210.0,71124329.0,109437,15096846.09760776,713393.3262483426,23.89052225769197,1437.8330500381971,32389.570207889774,22874728,22846477,9474782.0
Centro-Oeste,2014,394767019.0233152,89569383.0,71234141.0,100545,15879603.279331999,633486.2785886044,24.15443238347142,1214.5869397759104,35653.48209206234,24481495,24418293,9534567.0
Centro-Oeste,2015,417293760.94772017,94676600.0,72705736.0,96380,15684865.87609426,660574.6989788634,24.651929934678684,1137.8454481792717,37542.90166798412,25179522,25131430,8874908.0
Centro-Oeste,2016,376415036.54739475,98428780.0,75112421.0,91107,14808262.24376,578494.4474549012,24.219180767806904,1058.5819582378406,40423.51772322078,26008659,25412209,8991856.0
Centro-Oeste,2017,384260637.3538158,101782979.0,74128217.0,91600,14935199.79657,565622.4248524654,24.304008216773845,1118.4073015873016,41566.940531024535,27503335,27463325,9078253.0
Centro-Oeste,2018,392549059.72822803,105666105.0,73838407.0,88419,15143546.35199,557396.0583979189,23.740367247301624,1263.3308974358974,43200.042909926655,27516704,27492465,9425046.0
Centro-Oeste,2019,445275635.31330144,110083949.0,73970616.0,95390,15779818.46083,730991.0331383911,24.672043102276284,1120.9593356643356,44876.24434630976,29277085,29250836,9651268.0
Sudeste,2003,383059626.9906358,191885756.0,38711076.0,93417,41186135.880424,404739.35504216317,22.168921890766086,858.7233333333334,12713.26606420101,11750700,11708001,
Sudeste,2004,381654848.82136714,203919238.0,39379011.0,96290,42802935.319863,422135.9389048888,22.132840447234827,799.8444444444444,14291.048591196779,12355967,12245806,89750008.0
Sudeste,2005,386692163.7985789,257969664.0,38943898.0,98058,43335739.176019,349979.2537734256,21.83909554796124,1233.7293650793652,15907.046919182643,12522930,12511061,91617392.0
Sudeste,2006,382564282.68774724,275382418.0,39208512.0,100719,44443555.488363,336178.3113031858,21.614810791716344,641.2988461538462,17475.76308058916,12574587,12415172,92896387.0
Sudeste,2007,405434115.0227343,297275081.0,38586629.0,104620,48327701.014119074,320130.90279797994,21.870645462805427,909.0308452380953,20037.217723368587,12388192,12354890,99976047.0
Sudeste,2008,413003580.04381543,324791407.0,37820094.0,473921,51837760.06269601,313633.1670543093,21.44261619953159,1388.4696231211317,22091.84667656562,13273224,13220309,98515188.0
Sudeste,2009,396579568.4955556,350939025.0,38016674.0,510155,52911006.14829992,302442.3358030455,22.028014244171313,1475.1816622458002,23177.36176747664,13369324,13123958,88533748.0
Sudeste,2010,417605544.7764421,378343816.0,38251950.0,495035,56412762.693746865,291692.83567534795,21.807788234840064,1278.029697327044,27142.336525205348,13566509,13342852,100505727.0
Sudeste,2011,431520246.5097626,408011158.0,39335644.0,483992,58231668.76043236,302584.098096399,21.337553840780046,1348.7754399979713,30324.45585425143,13770951,13689879,102380586.0
Sudeste,2012,448110089.7118719,437436505.0,39206257.0,466619,60140693.2409442,331942.08956342755,21.8598859537335,1212.7382131123059,33016.85016318186,13938086,13813762,100787152.0
Sudeste,2013,465946551.7317709,465218154.0,39341429.0,461334,62882672.83675995,352140.9919514279,21.533234245914,1429.385715352449,34910.599752962204,14287231,14152469,100236879.0
Sudeste,2014,453478974.7073171,491308230.0,38530737.0,444150,65156030.379819006,326260.9407730773,21.998378787993115,910.7087495927012,37298.56634922733,14628759,14517388,95449174.0
Sudeste,2015,442291416.4221604,513709202.0,38812076.0,440885,64163339.60088047,299859.73030208156,22.559432999635572,1044.9579717101894,37771.51292093306,14707236,14552639,90741755.0
Sudeste,2016,416426547.0521906,530969458.0,39123700.0,434685,61677674.86358,264420.6157203125,22.20137598355957,1158.982297979798,38598.322713355556,14905786,14735142,88006388.0
Sudeste,2017,414659790.04808974,547138775.0,37550079.0,431019,61200799.90679,253767.43996656506,21.99352532353411,998.5148340238607,40047.7771767189,14821058,14758505,88727968.0
Sudeste,2018,402134804.2355496,565172985.0,37111436.0,434008,61889811.99598,237860.25057742925,22.01009153284481,1277.1366315701043,42426.56827390977,14683115,14629281,92270353.0
Sudeste,2019,402176952.8030947,585634928.0,37047182.0,433911,64058265.42121,259878.25262979136,22.585149834834365,1193.0639781859932,44329.75706245476,15170061,15074707,89389361.0
Sul,2003,235967667.25612497,73833527.0,28030117.0,45137,15987101.33525,492350.0409809146,18.732559952313267,762.9333333333334,11158.560025497156,19222360,19177720,
Sul,2004,223099870.3376232,80292794.0,28211275.0,43894,16875130.171409998,467628.761158447,19.478805020328796,871.02,12324.195319139819,19877715,19691073,25061975.0
Sul,2005,207135905.21707693,103167239.0,27770006.0,43937,16669114.47811,359845.3683994325,18.575694107312113,1017.7733333333334,12804.28533318003,19551251,18553923,25174603.0
Sul,2006,209698035.92707086,110608973.0,27200207.0,44979,16548174.56563,332009.79764214467,19.478416165453204,614.3513888888889,13780.667222744703,18999297,18599402,25905716.0
Sul,2007,202513529.30116802,119055779.0,26500261.0,46356,17234658.53567487,307029.9959020568,18.900082036316473,1150.1507692307694,16344.308546185206,19156536,19058537,27380413.0
Sul,2008,217247938.27764836,129375688.0,27585507.0,283774,18504705.40918054,365247.3094449455,18.28982058790822,1338.3256854256854,18088.27827944902,19662177,19549683,28725145.0
Sul,2009,209732627.8807113,139529334.0,27904576.0,314352,18853020.30755827,308443.6836910156,18.705347111561803,1771.871128802398,19124.673895616183,19875924,19702070,26963112.0
Sul,2010,217803024.21985745,149987406.0,27866349.0,300915,20607068.78540782,388980.709363836,18.527300683334254,1548.0555555555557,22646.872548212825,19318966,19266599,29575699.0
Sul,2011,220071985.31824487,161458731.0,27993205.0,283905,21432162.48223144,365334.542591205,18.3527824294033,1608.7122981366458,25260.723116887635,19671886,19569004,30621965.0
Sul,2012,224674274.96471718,173211968.0,27627551.0,276062,22652534.31305793,371723.28870020056,19.23746547269338,1355.6740853897375,27585.882951847016,19870018,19557008,30916233.0
Sul,2013,244324321.54255936,184971184.0,27634241.0,274722,24066770.477430202,414447.777762572,18.390850443189542,1605.1074904652935,30569.988625966078,20857716,20619031,32334567.0
Sul,2014,231009889.99373,196273213.0,27424461.0,258734,25028294.408838,322121.1340281679,19.499647479759098,1653.68341633559,32687.14693459755,21386148,21350988,32569025.0
Sul,2015,231490700.37434748,205519639.0,27434523.0,252296,24878101.58800384,333827.05104789993,19.35286794096625,1768.5406673754499,34486.10498251323,21186782,21142453,31287785.0
Sul,2016,225056980.29170874,212035188.0,27577786.0,259940,24696922.21649,272822.4704793334,18.487103637720512,1413.715628815629,36255.65851604092,21243901,21147577,31211359.0
Sul,2017,224011157.61888033,218070620.0,27026122.0,248804,25075094.35447,317185.8706055541,19.31331275807118,1665.293450993451,37849.21992910897,21299307,21218795,32571509.0
Sul,2018,219413447.42154425,225166190.0,26121702.0,247514,25016006.37453,315879.6000226499,18.86808352650672,1422.5435246923619,40181.119150334176,21065460,20959334,33134205.0
Sul,2019,229419108.439879,233161273.0,25393333.0,244069,25586118.94213,421939.1093233886,19.39690390732912,1454.9852952602953,42437.475020508726,21400782,21315889,33573651.0
