Empresa de Pesquisa Energética - EPE,,,,,,,,,,,,,
Consumo de energia elétrica na rede (MWh),,,,,,,,,,,,,
Sistema SIMPLES,,,,,,,,,,,,,
,,,,,,,,,,,,,
,2026*,,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
TOTAL INDUSTRIAL,15.794.018,15.727.145,,,,,,,,,,,31.521.163
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Sul,2.422.689,2.759.996,2.709.287,2.768.306,2.693.261,2.675.047,2.677.890,2.781.366,2.786.801,2.789.768,2.823.739,2.680.875,32.569.025
Centro-Oeste,735.951,751.243,783.538,795.654,811.436,809.589,823.799,861.743,843.120,798.979,775.483,744.031,9.534.567
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas isolados,14.767,15.409,14.206,15.807,14.930,15.748,16.797,18.648,19.165,17.725,18.449,16.999,198.650
Norte,1.616.098,1.472.631,1.599.317,1.505.231,1.448.284,1.361.752,1.424.953,1.444.724,1.439.073,1.438.023,1.400.679,1.426.045,17.576.810
Nordeste,1.900.764,1.818.825,1.952.738,1.921.439,1.952.686,1.879.834,2.008.006,2.058.260,2.043.854,2.047.024,2.028.812,1.982.938,23.595.179
Sudeste/C. Oeste,8.608.625,9.063.245,8.834.421,9.071.743,8.862.475,8.780.429,8.457.736,8.866.044,8.719.299,8.668.448,9.020.694,8.586.345,105.539.505
Sul,2.422.689,2.759.996,2.709.287,2.768.306,2.693.261,2.675.047,2.677.890,2.781.366,2.786.801,2.789.768,2.823.739,2.680.875,32.569.025
,,,,,,,,,,,,,
,2013,,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
TOTAL INDUSTRIAL,14.393.750,14.814.130,15.173.983,15.612.113,15.596.204,15.351.896,15.516.484,15.912.396,15.619.759,15.809.651,15.835.535,15.348.119,184.984.020
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
